controlledEnvironment=22C/air100/light100 every5 game seconds through existing field persistence; original restored during cleanup; character exposure/needs simulation remains active
[PASS] actual preparation estimate=adult1/45WU/day/0.4day; actual enqueue; cap1/17WU unchanged
postCycleMetaMultiplier=1; pipeline=raw work rate -> completed cycle -> current participant contribution -> supplied durable research equipment -> meta research multiplier -> remaining project clamp
researchRunExit previousRun=1; previousRaw=6; previousGame=120.2318; currentRun=1; completionEvents=1; cancelledRun=0; cancellationCount=0; hunger=68.28656; sleep=97.28161; hygiene=64.99904; excretion=64.69772; fun=94.88891; worker=character:staff:1:01; action=; research=False; participants=0; progress=6; generic=0/0; thirst=61.66672; cell=(35, 2); gameTime=120.8985; wall=85.19495; cancellation=; preWuExit=None/; brain=행동: 일하기
단계: 없음
목표: 없음
경로: 경로 없음
기분: 51.7
이유: 정상
운반 계획: 운반 계획 없음
적재: 0/28.7kg
정리 사유: 진행 중
phase game=120.8985; kind=no-work-increment/no-movement; run=1; generic=0/0; action=; cell=(35, 2)
completion game=120.8985; approved=6; projectDelta=6; actor=character:staff:1:01
phase game=121.9092; kind=movement-observed; run=1; generic=0/0; action=Wait (AIWait); cell=(34, 2)
phase game=122.1298; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Wait (AIWait); cell=(34, 2)
phase game=123.4631; kind=movement-observed; run=1; generic=0/0; action=Wait (AIWait); cell=(33, 2)
phase game=124.1298; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Wait (AIWait); cell=(33, 2)
phase game=126.0414; kind=movement-observed; run=1; generic=0/0; action=Wait (AIWait); cell=(34, 2)
phase game=126.708; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Wait (AIWait); cell=(34, 2)
phase game=129.6982; kind=movement-observed; run=1; generic=0/0; action=Wait (AIWait); cell=(33, 2)
phase game=130.244; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Wait (AIWait); cell=(33, 2)
phase game=133.11; kind=movement-observed; run=1; generic=0/0; action=Drink (AIDrink); cell=(32, 2)
phase game=133.7767; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Drink (AIDrink); cell=(32, 2)
phase game=134.2396; kind=movement-observed; run=1; generic=0/0; action=Drink (AIDrink); cell=(31, 2)
phase game=134.9063; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Drink (AIDrink); cell=(31, 2)
phase game=135.2362; kind=movement-observed; run=1; generic=0/0; action=Drink (AIDrink); cell=(30, 2)
phase game=135.9028; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Drink (AIDrink); cell=(30, 2)
phase game=137.2096; kind=movement-observed; run=1; generic=0/0; action=Drink (AIDrink); cell=(31, 2)
phase game=137.8763; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Drink (AIDrink); cell=(31, 2)
phase game=140.96; kind=movement-observed; run=1; generic=0/0; action=Drink (AIDrink); cell=(31, 1)
phase game=142.7323; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Drink (AIDrink); cell=(29, 1)
phase game=143.1985; kind=movement-observed; run=1; generic=0/0; action=Drink (AIDrink); cell=(28, 1)
phase game=143.8652; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Drink (AIDrink); cell=(28, 1)
phase game=144.5319; kind=movement-observed; run=1; generic=0/0; action=Drink (AIDrink); cell=(27, 1)
